HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
1,0,149,2,39,0,0,0,0,0,0,5252,0
0,0,2184,2,24,0,109,9,25,456,44,4502,1
1,0,1,2,58,1,43,1206,0,1273,49,457,0
1,0,1,2,33,0,0,806,332,1132,187,7149,0
0,0,2186,2,16,0,277,69,149,470,2,8319,1
0,0,2183,1,44,0,0,393,0,272,0,6878,1
0,0,3425,2,26,0,42,891,3,0,0,1155,1
0,1,4559,2,28,0,0,0,0,0,1306,1453,1
0,0,3565,2,35,0,0,599,17,208,0,556,1
1,1,150,0,14,0,0,0,0,0,0,2864,1
1,1,150,2,34,0,0,0,1115,0,0,453,1
1,0,150,0,45,0,39,1405,486,109,122,8255,1
2,0,2185,2,32,0,73,0,809,0,112,1084,1
0,0,4561,2,48,0,582,1,65,0,24,6576,0
0,0,3424,2,28,0,8,713,12,2,7,2699,1
0,0,6560,2,31,0,32,0,705,0,0,4535,0
2,0,3564,0,27,0,900,117,1115,0,0,3060,0
0,0,3696,0,24,0,0,1,0,0,533,1548,0
2,1,3844,2,45,0,0,0,0,0,0,465,1
0,0,4558,2,0,0,0,0,0,0,0,5172,1
0,0,3988,0,14,0,353,0,1,0,561,6244,0
0,1,1407,2,1,0,0,0,0,0,0,364,0
0,1,1407,0,49,0,0,0,0,0,0,3371,0
0,1,1407,0,29,0,0,0,1115,0,0,5676,0
0,0,1407,2,10,0,0,0,0,0,0,1343,1
0,1,1407,1,1,0,1273,0,0,0,0,5239,0
0,0,1407,2,7,0,0,0,0,0,0,7606,0
2,0,1034,2,21,0,756,2,68,0,0,8473,0
1,1,750,2,62,0,0,0,1115,0,0,6208,1
0,0,3989,2,15,0,0,209,0,747,0,4561,0
1,0,598,0,34,0,22,1368,0,874,292,664,0
2,0,4268,2,43,0,824,0,134,48,0,1627,0
0,0,5660,2,32,0,0,646,80,379,391,3355,0
2,0,4406,2,47,0,205,0,885,0,818,1900,1
2,0,4406,2,2,0,0,0,0,0,0,1780,1
2,0,4406,2,20,0,1273,0,951,743,0,2367,1
1,1,1036,0,28,0,0,0,0,0,0,8451,1
2,0,1035,0,23,0,633,707,0,731,0,5147,0
0,0,4269,0,15,2,0,401,48,20,352,5336,0
0,0,2188,0,20,0,459,183,0,1068,0,5046,0
0,1,4560,0,30,0,0,0,1115,0,0,4456,0
0,1,5362,2,17,0,0,0,0,0,0,5311,1
1,0,461,2,45,0,0,155,45,1058,683,586,0
0,1,5513,2,55,0,0,0,0,0,0,4396,0
0,1,5513,0,4,0,0,0,0,0,0,4630,1
0,1,5513,1,21,0,0,0,0,0,0,1567,1
2,0,2187,2,21,0,752,0,174,0,64,8443,0
2,1,2187,3,19,0,0,0,0,0,0,5389,1
0,0,1408,0,35,0,637,0,0,1327,0,7173,0
0,0,1557,2,56,0,0,108,0,857,125,8061,0
0,0,5955,2,80,0,4,0,2,1216,0,2589,0
0,0,2330,2,25,0,0,0,986,0,1,2733,1
1,0,2,2,2,0,0,0,0,0,0,6054,1
1,1,2,2,38,0,0,0,0,0,0,4041,1
1,0,2,2,27,0,259,474,1074,267,3,8456,1
0,1,6108,1,36,0,0,0,0,0,0,8134,0
0,0,2482,2,22,0,45,750,146,856,1,7040,0
0,0,2628,2,62,0,0,462,0,17,25,7298,0
2,1,2763,2,15,0,0,0,0,0,0,8473,1
3,1,1697,2,33,0,0,0,1115,0,0,1870,1
0,0,5954,2,62,0,1,145,191,0,394,2272,0
0,1,4562,1,0,0,0,0,0,0,0,5981,1
0,0,4562,2,18,0,1,237,387,0,0,1602,1
0,0,2905,0,21,0,1064,37,0,0,24,7991,0
2,0,1845,2,80,0,639,0,2,240,0,1793,0
0,0,3044,2,42,0,703,0,9,6,0,8473,1
0,0,2627,2,19,0,183,0,5,1,595,5507,0
0,0,2762,2,17,0,16,1016,0,0,52,5916,0
0,0,3190,2,14,0,0,1,0,0,763,7647,0
2,0,1303,1,37,0,46,81,611,0,12,3463,0
1,0,903,2,42,0,1,1430,0,0,431,202,1
2,0,3331,2,27,0,143,0,769,0,0,1895,1
2,0,2904,2,28,0,14,0,853,0,0,6324,1
